SUBS,NOME,CPF,RG,DATA
1000,João da Silva,123.456.789-09,12.345.678-9,2022-02-15
1001,Maria Oliveira,987.654.321-00,98.765.432-1,2022-03-20
1002,Carlos Pereira,321.654.987-23,32.109.876-5,2022-04-10
1003,Ana Souza,567.890.123-45,54.321.098-7,2022-05-05
1004,Fernando Santos,234.567.890-98,21.345.678-3,2022-06-25
1005,Laura Almeida,111.222.333-44,11.22.33-4,2022-07-12
1006,Pedro Rocha,555.666.777-88,55.66.77-8,2022-08-30
1007,Isabel Lima,999.888.777-66,99.88.77-6,2022-09-18
1008,Ricardo Barbosa,333.444.555-66,33.44.55-6,2022-10-03
1009,Camila Costa,777.888.999-11,77.88.99-1,2022-11-19
1010,André Santos,444.555.666-77,44.55.66-7,2022-12-05
1011,Lúcia Oliveira,888.777.666-11,88.77.66-1,2023-01-22
1012,Eduardo Pereira,222.333.444-55,22.33.44-5,2023-02-08
1013,Marina Souza,666.555.444-22,66.55.44-2,2023-03-27
1014,Gustavo Lima,000.111.222-33,00.11.22-3,2023-04-14
1015,Raquel Fernandes,444.333.222-11,44.33.22-1,2023-05-29
1016,Luís Costa,888.999.000-11,88.99.00-1,2023-06-17
1017,Patrícia Oliveira,111.222.333-44,11.22.33-4,2023-07-02
1018,Rodrigo Silva,555.666.777-88,55.66.77-8,2023-08-20
1019,Carla Rocha,999.888.777-66,99.88.77-6,2023-09-05
1020,Lucas Almeida,333.444.555-66,33.44.55-6,2023-10-21
1021,Tatiane Pereira,777.888.999-11,77.88.99-1,2023-11-08
1022,Alexandre Santos,444.555.666-77,44.55.66-7,2023-12-24
1023,Mariana Oliveira,888.777.666-11,88.77.66-1,2023-01-10
1024,Vinícius Lima,222.333.444-55,22.33.44-5,2023-02-26
1025,Juliana Barbosa,666.555.444-22,66.55.44-2,2023-03-14
1026,Paulo Costa,000.111.222-33,00.11.22-3,2023-04-29
1027,Sônia Rocha,444.333.222-11,44.33.22-1,2023-05-16
1028,Roberto Silva,888.999.000-11,88.99.00-1,2023-06-30
1029,Beatriz Oliveira,111.222.333-44,11.22.33-4,2023-07-18
1030,Miguel Fernandes,555.666.777-88,55.66.77-8,2023-08-03
1031,Gabriela Lima,999.888.777-66,99.88.77-6,2023-09-20
1032,José Pereira,333.444.555-66,33.44.55-6,2023-10-05
1033,Clara Santos,777.888.999-11,77.88.99-1,2023-11-21
1034,Diego Oliveira,444.555.666-77,44.55.66-7,2023-12-07
1035,Evelyn Almeida,888.777.666-11,88.77.66-1,2023-01-24
1036,Rafael Souza,222.333.444-55,22.33.44-5,2023-02-09
1037,Natalia Lima,666.555.444-22,66.55.44-2,2023-03-26
1038,Andréia Pereira,000.111.222-33,00.11.22-3,2023-04-13
1039,Fábio Costa,444.333.222-11,44.33.22-1,2023-05-28
1040,Larissa Barbosa,888.999.000-11,88.99.00-1,2023-06-15
1041,Vitor Oliveira,111.222.333-44,11.22.33-4,2023-07-30
1042,Fernanda Santos,555.666.777-88,55.66.77-8,2023-08-17
1043,Henrique Lima,999.888.777-66,99.88.77-6,2023-09-01
1044,Aline Almeida,333.444.555-66,33.44.55-6,2023-10-18
1045,Gabriel Rocha,777.888.999-11,77.88.99-1,2023-11-03
1046,Carolina Silva,444.555.666-77,44.55.66-7,2023-12-19
1047,Daniel Pereira,888.777.666-11,88.77.66-1,2023-08-17
1048,Lívia Lima,222.333.444-55,22.33.44-5,2023-08-17
1049,Raphael Costa,666.555.444-22,66.55.44-2,2023-08-17
1050,Isadora Oliveira,000.111.222-33,00.11.22-3,2023-08-17
